Nº de Títulos;Valor Total;Nº Baixados;Valor Total;Nº Confirmados;
4860;R$ 4.186.933,60;0;R$ 0,00;0;
Erro nº;Mensagem de erro;MSG_TECNICA;
81;Título está baixado. Matrícula [201003072] Número [150193            ] * Linha: 2832; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101136] Linha: 2832;
82;Título está baixado. Matrícula [201001325] Número [153177            ] * Linha: 2833; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22101147] Linha: 2833;
83;Título está baixado. Matrícula [201417255] Número [148103            ] * Linha: 3380; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076186] Linha: 3380;
84;Título está baixado. Matrícula [201411629] Número [141254            ] * Linha: 3381; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076204] Linha: 3381;
85;Título está baixado. Matrícula [201400118] Número [144068            ] * Linha: 3382; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075702] Linha: 3382;
86;Título está baixado. Matrícula [201405178] Número [153067            ] * Linha: 3383; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075716] Linha: 3383;
87;Título está baixado. Matrícula [201412579] Número [146408            ] * Linha: 3384; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22076239] Linha: 3384;
88;Título está baixado. Matrícula [201403719] Número [152481            ] * Linha: 3385; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075718] Linha: 3385;
89;Título está baixado. Matrícula [201407573] Número [144280            ] * Linha: 3386; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075728] Linha: 3386;
90;Título está baixado. Matrícula [201401257] Número [150215            ] * Linha: 3387; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075761] Linha: 3387;
91;Título está baixado. Matrícula [201400181] Número [156355            ] * Linha: 3388; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075770] Linha: 3388;
92;Título está baixado. Matrícula [201403767] Número [149254            ] * Linha: 3389; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075781] Linha: 3389;
93;Título está baixado. Matrícula [201403788] Número [141797            ] * Linha: 3390; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075788] Linha: 3390;
94;Título está baixado. Matrícula [201404891] Número [157194            ] * Linha: 3391; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075790] Linha: 3391;
95;Título está baixado. Matrícula [201412850] Número [145056            ] * Linha: 3392; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075799] Linha: 3392;
96;Título está baixado. Matrícula [201412867] Número [147768            ] * Linha: 3393; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075808] Linha: 3393;
97;Título está baixado. Matrícula [201313830] Número [155682            ] * Linha: 3394; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075834] Linha: 3394;
98;Título está baixado. Matrícula [201400193] Número [144517            ] * Linha: 3395; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075836] Linha: 3395;
99;Título está baixado. Matrícula [201400999] Número [150627            ] * Linha: 3396; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075841] Linha: 3396;
100;Título está baixado. Matrícula [201401033] Número [150943            ] * Linha: 3397; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075845] Linha: 3397;
101;Título está baixado. Matrícula [81410874] Número [142284            ] * Linha: 3398; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075851] Linha: 3398;
102;Título está baixado. Matrícula [201403843] Número [147415            ] * Linha: 3399; SP_BAIXA_AUTOMATICA. Título está baixado. Código [22075857] Linha: 3399;
